timestamp;cycle_id;type;action;ticket;price;lot;sl;tp;pnl;exit_reason;spread;atr;rsi;pyramid_level;balance;equity;comment
2026.08.18 15:45:55;1787063800;main;open;119768289;4381.45;0.03;4369.45;4403.95;0.00;;33;8.12;39.8;1;213072.04;213071.53;BUY OCO
2026.08.18 15:45:55;1787063800;hedge;open;119768436;4378.28;0.05;4381.28;0.00;0.00;;33;8.12;39.5;1;213072.04;213070.54;HedgePend SELL_STOP
2026.08.18 15:47:14;1787063800;main;close;119768289;4382.11;0.03;4378.78;4403.95;1.98;minus_block_force_close;33;8.24;40.7;1;213074.02;213074.02;
2026.08.18 15:53:14;1787063801;main;open;119769722;4379.97;0.03;4394.97;4357.47;0.00;;33;8.76;40.3;1;213074.02;213073.36;SELL OCO
2026.08.18 15:53:14;1787063801;hedge;open;119769944;4383.19;0.05;4380.19;0.00;0.00;;37;8.77;40.5;1;213074.02;213072.31;HedgePend BUY_STOP
2026.08.18 15:53:26;1787063801;main;close;119769722;4374.06;0.03;4374.97;4357.47;17.73;tiered_profit_trail;31;9.28;36.6;1;213093.43;213093.43;
2026.08.18 15:58:48;1787063802;main;open;119771521;4371.23;0.03;4383.23;4348.73;0.00;;33;9.37;35.4;1;213093.43;213092.35;SELL OCO
2026.08.18 15:58:48;1787063802;hedge;open;119771718;4374.59;0.05;4371.59;0.00;0.00;;37;9.38;35.3;1;213093.43;213093.07;HedgePend BUY_STOP
2026.08.18 15:59:08;1787063802;main;close;119771521;4365.98;0.03;4366.23;4348.73;15.75;tiered_profit_trail;33;9.82;32.9;1;213108.88;213108.88;
2026.08.18 16:04:44;1787063803;main;open;119773434;4376.38;0.03;4364.38;4398.88;0.00;;33;10.04;41.4;1;213108.88;213108.52;BUY OCO
2026.08.18 16:04:44;1787063803;hedge;open;119773617;4373.26;0.05;4376.26;0.00;0.00;;33;10.04;41.4;1;213108.88;213108.58;HedgePend SELL_STOP
2026.08.18 16:05:21;1787063803;main;close;119773434;4376.93;0.03;4373.71;4398.88;1.65;minus_block_force_close;33;9.84;41.9;1;213110.11;213110.11;
2026.08.18 16:13:16;1787063804;main;open;119775066;4364.10;0.03;4376.10;4340.28;0.00;;33;9.93;35.3;1;213110.11;213109.15;SELL OCO
2026.08.18 16:13:17;1787063804;hedge;open;119775468;4367.42;0.05;4364.42;0.00;0.00;;30;9.93;35.3;1;213110.11;213109.24;HedgePend BUY_STOP
2026.08.18 16:14:14;1787063804;main;close;119775066;4359.94;0.03;4360.59;4340.28;12.48;tiered_profit_trail;30;10.32;33.4;1;213122.38;213122.38;
2026.08.18 16:20:03;1787063805;main;open;119777617;4354.65;0.03;4366.65;4331.44;0.00;;30;10.15;30.7;1;213122.38;213125.92;SELL OCO
2026.08.18 16:20:03;1787063805;hedge;open;119778009;4356.47;0.05;4353.47;0.00;0.00;;30;10.15;30.9;1;213122.38;213124.48;HedgePend BUY_STOP
2026.08.18 16:20:04;1787063805;main;close;119777617;4354.20;0.03;4357.32;4331.44;1.35;minus_block_force_close;30;10.15;31.2;1;213122.74;213122.74;
2026.08.18 16:28:30;1787063806;main;open;119779420;4357.76;0.03;4342.18;4381.14;0.00;;33;9.85;34.1;1;213122.74;213121.81;BUY OCO
2026.08.18 16:28:30;1787063806;hedge;open;119780015;4354.45;0.05;4357.45;0.00;0.00;;33;9.86;34.4;1;213122.74;213122.77;HedgePend SELL_STOP
2026.08.18 16:28:57;1787063806;main;close;119779420;4358.40;0.03;4355.09;4381.14;1.92;minus_block_force_close;33;9.94;34.8;1;213124.36;213124.36;
2026.08.18 16:34:45;1787063807;main;open;119781121;4361.86;0.03;4349.86;4384.52;0.00;;33;10.10;38.3;1;213124.36;213124.69;BUY OCO
2026.08.18 16:34:46;1787063807;hedge;open;119781240;4358.97;0.05;4361.97;0.00;0.00;;33;10.10;38.2;1;213124.36;213124.18;HedgePend SELL_STOP
2026.08.18 16:35:07;1787063807;main;close;119781121;4359.19;0.03;4359.19;4384.52;-8.01;broker_side_close(sl_or_tp_hit);33;9.70;36.1;1;213116.35;213116.35;[sl]
2026.08.18 16:43:32;1787063808;main;open;119781875;4357.90;0.03;4369.90;4335.32;0.00;;33;9.56;35.8;1;213116.35;213115.75;SELL OCO
2026.08.18 16:43:33;1787063808;hedge;open;119782124;4361.10;0.05;4358.10;0.00;0.00;;33;9.56;35.7;1;213116.35;213116.05;HedgePend BUY_STOP
2026.08.18 16:45:18;1787063808;main;close;119781875;4360.57;0.03;4360.57;4335.32;-8.01;broker_side_close(sl_or_tp_hit);33;9.18;37.9;1;213108.34;213108.34;[sl]
2026.08.18 16:51:35;1787063809;main;open;119782927;4365.26;0.03;4353.26;4387.76;0.00;;33;9.28;42.3;1;213108.34;213107.44;BUY OCO
2026.08.18 16:51:35;1787063809;hedge;open;119783064;4361.96;0.05;4364.96;0.00;0.00;;33;9.29;42.4;1;213108.34;213107.80;HedgePend SELL_STOP
2026.08.18 16:53:49;1787063809;main;close;119782927;4365.87;0.03;4362.59;4387.76;1.83;minus_block_force_close;30;9.40;43.2;1;213110.17;213110.17;
2026.08.18 17:00:54;1787063810;main;open;119783675;4367.64;0.03;4352.64;4390.14;0.00;;33;7.87;44.8;1;213110.17;213109.15;BUY OCO
2026.08.18 17:00:55;1787063810;hedge;open;119783908;4364.30;0.05;4367.30;0.00;0.00;;33;7.87;44.8;1;213110.17;213109.12;HedgePend SELL_STOP
2026.08.18 17:01:48;1787063810;main;close;119783675;4368.21;0.03;4364.97;4390.14;1.71;minus_block_force_close;33;7.96;45.6;1;213111.58;213111.58;
2026.08.18 17:34:28;1787063811;main;open;119786718;4365.72;0.03;4353.72;4388.22;0.00;;33;4.96;43.8;1;213111.58;213110.23;BUY OCO
2026.08.18 17:34:28;1787063811;hedge;open;119786919;4362.27;0.05;4365.27;0.00;0.00;;33;4.96;43.7;1;213111.58;213109.96;HedgePend SELL_STOP
2026.08.18 17:35:16;1787063811;main;close;119786718;4366.32;0.03;4363.05;4388.22;1.80;minus_block_force_close;30;4.51;45.1;1;213113.38;213113.38;
2026.08.18 17:41:05;1787063812;main;open;119787383;4367.77;0.03;4352.77;4390.27;0.00;;33;4.34;46.7;1;213113.38;213113.41;BUY OCO
2026.08.18 17:41:05;1787063812;hedge;open;119787452;4364.45;0.05;4367.45;0.00;0.00;;33;4.34;46.7;1;213113.38;213112.33;HedgePend SELL_STOP
2026.08.18 17:46:05;1787063812;main;close;119787383;4365.10;0.03;4365.10;4390.27;-8.01;failsafe_reconcile;33;4.21;44.1;0;213105.37;213105.37;[sl]
2026.08.18 23:19:09;1787095065;main;open;119805541;4340.34;0.03;4328.34;4362.84;0.00;;37;3.96;41.5;1;213105.37;213103.63;BUY OCO
2026.08.18 23:20:29;1787095065;main;close;119805541;4337.67;0.03;4337.67;4362.84;-8.01;failsafe_reconcile;33;4.01;38.5;0;213097.36;213097.36;[sl]
2026.08.18 23:37:13;1787095066;main;open;119806466;4334.42;0.03;4346.42;4311.92;0.00;;31;3.88;33.8;1;213097.36;213096.61;SELL OCO
2026.08.18 23:37:13;1787095066;hedge;open;119806647;4337.67;0.05;4334.67;0.00;0.00;;30;3.88;33.8;1;213097.36;213096.58;HedgePend BUY_STOP
2026.08.18 23:40:50;1787095066;main;close;119806466;4333.82;0.03;4337.09;4311.92;1.80;minus_block_force_close;33;4.00;32.8;1;213098.68;213098.68;
2026.08.18 23:53:51;1787095067;main;open;119806917;4335.12;0.03;4323.12;4357.62;0.00;;30;3.82;37.0;1;213098.68;213097.99;BUY OCO
2026.08.18 23:53:51;1787095067;hedge;open;119807093;4331.89;0.05;4334.89;0.00;0.00;;30;3.82;37.0;1;213098.68;213097.99;HedgePend SELL_STOP
2026.08.19 00:07:31;1787095067;main;close;119806917;4337.76;0.03;4337.76;4357.62;7.92;failsafe_reconcile;30;3.33;45.9;0;213106.60;213106.60;[sl]
2026.08.19 00:13:17;1787095068;main;open;119807955;4333.03;0.03;4345.03;4310.53;0.00;;30;2.95;35.6;1;213106.60;213105.40;SELL OCO
2026.08.19 00:13:17;1787095068;hedge;open;119807976;4336.43;0.05;4333.43;0.00;0.00;;33;2.95;35.5;1;213106.60;213105.40;HedgePend BUY_STOP
2026.08.19 00:22:00;1787095068;main;close;119807955;4335.70;0.03;4335.70;4310.53;-8.01;broker_side_close(sl_or_tp_hit);32;2.95;43.6;1;213098.59;213098.59;[sl]
2026.08.19 00:28:27;1787095069;main;open;119808780;4330.85;0.03;4342.85;4308.35;0.00;;30;3.11;31.7;1;213098.59;213098.02;SELL OCO
2026.08.19 00:28:27;1787095069;hedge;open;119808811;4334.04;0.05;4331.04;0.00;0.00;;30;3.11;31.7;1;213098.59;213097.99;HedgePend BUY_STOP
2026.08.19 00:33:46;1787095069;main;close;119808780;4328.36;0.03;4328.36;4308.35;7.47;broker_side_close(sl_or_tp_hit);33;3.13;27.6;1;213106.06;213106.06;[sl]
2026.08.19 00:39:10;1787095070;main;open;119809602;4327.58;0.03;4342.58;4305.08;0.00;;30;3.15;27.4;1;213106.06;213105.67;SELL OCO
2026.08.19 00:39:11;1787095070;hedge;open;119809637;4330.71;0.05;4327.71;0.00;0.00;;32;3.15;27.5;1;213106.06;213105.43;HedgePend BUY_STOP
2026.08.19 00:44:23;1787095070;main;close;119809602;4330.25;0.03;4330.25;4305.08;-8.01;broker_side_close(sl_or_tp_hit);30;3.20;33.5;1;213098.05;213098.05;[sl]
2026.08.19 00:52:29;1787095071;main;open;119810026;4331.81;0.03;4319.81;4354.31;0.00;;30;3.17;39.3;1;213098.05;213097.51;BUY OCO
2026.08.19 00:52:29;1787095071;hedge;open;119810113;4328.63;0.05;4331.63;0.00;0.00;;31;3.17;39.2;1;213098.05;213097.42;HedgePend SELL_STOP
2026.08.19 00:53:25;1787095071;main;close;119810026;4331.84;0.03;4329.14;4354.31;0.09;minus_block_force_close;30;3.33;39.9;1;213098.02;213098.02;
2026.08.19 01:00:14;1787095072;main;open;119810379;4331.64;0.03;4343.64;4309.14;0.00;;33;3.41;40.7;1;213098.02;213097.54;SELL OCO
2026.08.19 01:00:14;1787095072;hedge;open;119810485;4334.80;0.05;4331.80;0.00;0.00;;30;3.41;40.8;1;213098.02;213097.45;HedgePend BUY_STOP
2026.08.19 01:00:43;1787095072;main;close;119810379;4334.31;0.03;4334.31;4309.14;-8.01;broker_side_close(sl_or_tp_hit);31;3.48;47.3;1;213090.01;213090.01;[sl]
2026.08.19 01:11:14;1787095073;main;open;119811572;4338.28;0.03;4353.28;4315.78;0.00;;30;4.09;55.8;1;213090.01;213088.63;SELL OCO
2026.08.19 01:11:14;1787095073;hedge;open;119811596;4341.74;0.05;4338.74;0.00;0.00;;30;4.09;55.4;1;213090.01;213089.14;HedgePend BUY_STOP
2026.08.19 01:11:25;1787095073;main;close;119811572;4340.95;0.03;4340.95;4315.78;-8.01;broker_side_close(sl_or_tp_hit);30;4.13;60.8;1;213082.00;213082.00;[sl]
2026.08.19 02:01:35;1787095074;main;open;119816493;4331.42;0.03;4343.42;4308.92;0.00;;31;5.26;37.2;1;213082.00;213080.89;SELL OCO
2026.08.19 02:01:36;1787095074;hedge;open;119816531;4334.79;0.05;4331.79;0.00;0.00;;33;5.26;37.1;1;213082.00;213080.95;HedgePend BUY_STOP
2026.08.19 02:01:41;1787095074;main;close;119816493;4330.94;0.03;4334.09;4308.92;1.44;minus_block_force_close;30;5.29;36.1;1;213083.50;213083.50;
2026.08.19 02:06:53;1787095075;main;open;119818210;4339.17;0.03;4351.17;4316.67;0.00;;32;6.17;51.2;1;213083.50;213081.97;SELL OCO
2026.08.19 02:07:05;1787095075;main;close;119818210;4338.63;0.03;4341.84;4316.67;1.62;minus_block_force_close;33;6.17;49.6;1;213085.09;213085.09;
2026.08.19 02:12:48;1787095076;main;open;119819017;4340.93;0.03;4328.93;4363.43;0.00;;30;5.83;52.1;1;213085.09;213082.54;BUY OCO
2026.08.19 02:12:49;1787095076;hedge;open;119819060;4337.08;0.05;4340.08;0.00;0.00;;33;5.83;52.3;1;213085.09;213082.96;HedgePend SELL_STOP
2026.08.19 02:13:20;1787095076;main;close;119819017;4341.53;0.03;4338.26;4363.43;1.80;minus_block_force_close;30;5.93;54.2;1;213086.86;213086.86;
2026.08.19 02:18:31;1787095077;main;open;119820032;4336.42;0.03;4351.42;4313.92;0.00;;30;6.41;46.5;1;213086.86;213086.53;SELL OCO
2026.08.19 02:18:32;1787095077;hedge;open;119820131;4339.53;0.05;4336.53;0.00;0.00;;33;6.41;46.7;1;213086.86;213085.72;HedgePend BUY_STOP
2026.08.19 02:18:45;1787095077;main;close;119820032;4335.89;0.03;4339.09;4313.92;1.59;minus_block_force_close;30;6.52;45.6;1;213088.78;213088.78;
2026.08.19 02:24:24;1787095078;main;open;119820964;4336.44;0.03;4348.44;4313.94;0.00;;30;6.54;46.1;1;213088.78;213089.08;SELL OCO
2026.08.19 02:24:24;1787095078;hedge;open;119821033;4339.34;0.05;4336.34;0.00;0.00;;31;6.54;46.2;1;213088.78;213088.90;HedgePend BUY_STOP
2026.08.19 02:25:20;1787095078;main;close;119820964;4339.11;0.03;4339.11;4313.94;-8.01;broker_side_close(sl_or_tp_hit);37;6.43;49.9;1;213080.77;213080.77;[sl]
2026.08.19 02:25:29;1787095078;hedge;close;119821033;4337.74;0.05;4337.74;0.00;-8.00;broker_side_close(sl_or_tp_hit);30;6.47;48.3;1;213072.77;213072.77;EA_Breakout_OCO_V11 HedgePe[sl]
2026.08.19 02:33:47;1787095079;main;open;119821723;4347.33;0.03;4335.33;4369.83;0.00;;31;6.81;59.8;1;213072.77;213071.99;BUY OCO
2026.08.19 02:33:48;1787095079;hedge;open;119822025;4344.07;0.05;4347.07;0.00;0.00;;31;6.81;59.7;1;213072.77;213071.84;HedgePend SELL_STOP
2026.08.19 02:34:20;1787095079;main;close;119821723;4350.35;0.03;4350.08;4369.83;9.06;tiered_profit_trail;33;7.07;62.7;1;213081.53;213081.53;
2026.08.19 02:50:50;1787095080;main;open;119823705;4353.53;0.04;4341.53;4376.03;0.00;;31;6.89;62.4;1;213081.53;213081.29;BUY OCO
2026.08.19 02:50:50;1787095080;hedge;open;119823867;4350.47;0.05;4353.47;0.00;0.00;;31;6.90;62.5;1;213081.53;213081.41;HedgePend SELL_STOP
2026.08.19 02:51:36;1787095080;main;close;119823705;4353.84;0.04;4351.53;4376.03;1.24;minus_block_force_close;30;6.96;62.8;1;213083.13;213083.13;
2026.08.19 02:59:24;1787095081;main;open;119824150;4356.09;0.04;4344.09;4378.59;0.00;;30;7.08;64.6;1;213083.13;213082.61;BUY OCO
2026.08.19 02:59:24;1787095081;hedge;open;119824239;4352.96;0.05;4355.96;0.00;0.00;;30;7.08;64.7;1;213083.13;213082.69;HedgePend SELL_STOP
2026.08.19 03:00:07;1787095081;main;close;119824150;4356.46;0.04;4354.09;4378.59;1.48;minus_block_force_close;30;6.93;65.1;1;213084.65;213084.65;
2026.08.19 03:05:47;1787095082;main;open;119824687;4356.34;0.04;4344.34;4378.84;0.00;;33;7.13;63.4;1;213084.65;213083.85;BUY OCO
2026.08.19 03:05:47;1787095082;hedge;open;119824738;4353.14;0.05;4356.14;0.00;0.00;;33;7.15;63.6;1;213084.65;213084.65;HedgePend SELL_STOP
2026.08.19 03:06:37;1787095082;main;close;119824687;4354.34;0.04;4354.34;4378.84;-8.00;broker_side_close(sl_or_tp_hit);30;7.20;61.7;1;213076.65;213076.65;[sl]
2026.08.19 03:14:08;1787095083;main;open;119825086;4352.81;0.03;4367.81;4330.31;0.00;;30;6.37;58.2;1;213076.65;213076.56;SELL OCO
2026.08.19 03:14:08;1787095083;hedge;open;119825151;4355.84;0.05;4352.84;0.00;0.00;;31;6.37;58.2;1;213076.65;213076.59;HedgePend BUY_STOP
2026.08.19 03:16:05;1787095083;main;close;119825086;4355.48;0.03;4355.48;4330.31;-8.01;broker_side_close(sl_or_tp_hit);30;5.81;62.0;1;213068.64;213068.94;[sl]
2026.08.19 03:16:11;1787095083;hedge;close;119825151;4357.38;0.05;4357.17;0.00;7.70;hedge_reversal_giveback_cap;30;5.98;63.5;1;213076.99;213076.99;EA_Breakout_OCO_V11 HedgePend
2026.08.19 03:29:52;1787095084;main;open;119825980;4359.34;0.03;4371.34;4336.84;0.00;;32;5.25;64.5;1;213076.99;213076.45;SELL OCO
2026.08.19 03:29:53;1787095084;hedge;open;119826415;4362.52;0.05;4359.52;0.00;0.00;;37;5.26;64.8;1;213076.99;213075.61;HedgePend BUY_STOP
2026.08.19 03:30:41;1787095084;main;close;119825980;4358.70;0.03;4362.01;4336.84;1.92;minus_block_force_close;30;4.96;62.6;1;213079.57;213079.57;
2026.08.19 03:37:09;1787095085;main;open;119826846;4358.10;0.04;4346.10;4380.60;0.00;;30;4.72;61.3;1;213079.57;213078.05;BUY OCO
2026.08.19 03:37:10;1787095085;hedge;open;119826902;4354.72;0.05;4357.72;0.00;0.00;;32;4.72;61.3;1;213079.57;213078.09;HedgePend SELL_STOP
2026.08.19 03:37:48;1787095085;main;close;119826846;4356.10;0.04;4356.10;4380.60;-8.00;broker_side_close(sl_or_tp_hit);33;4.75;59.0;1;213071.57;213071.57;[sl]
