time;symbol;tf;cycle;event;detail;state;risk;active_orders;pending_orders;pyramid_level;buy_stop_ticket;sell_stop_ticket;entry_price;profit_money;price_move;peak_profit;worst_profit;lot_mode;auto_lot;last_lot;lot_base;lot_raw;lot_reason;balance;equity;spread;last_error
2026.08.18 14:29:59;XAUUSD;5;1787063399;EA_INIT;V11|Preset=AGGRESSIVE|MaxLoss=$50.0 SL=$12.0 RiskPct=1.50|HedgeMaxNeg=$10.0 LotRatio=1.25 ConfirmBars=1 Cooldown=60s|DailyDD=4.0% WeeklyLim=$100|AutoLotMode=KELLY_LITE|Session=ALL NewsFilter=OFF (0 times);IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;52;0
2026.08.18 14:29:59;XAUUSD;5;1787063399;DAILY_BASELINE_RESTORED;startEquity=213065.65 paused=false hardStop=false;IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;52;0
2026.08.18 14:29:59;XAUUSD;5;1787063399;WEEKLY_BASELINE_RESTORED;startEquity=213065.65 paused=false;IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;52;0
2026.08.18 14:30:00;XAUUSD;5;1787063399;FILTER_BLOCK_TREND_DISAGREE;TREND_DISAGREE (main=-1 fast=1 rsi=43.6, no extreme);BLOCKED;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;52;0
2026.08.18 14:35:00;XAUUSD;5;1787063399;FILTER_BLOCK_TREND;TREND_NEUTRAL_EMA;BLOCKED;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;31;0
2026.08.18 14:36:39;XAUUSD;5;1787063399;EA_DEINIT;reason=5;IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;33;0
2026.08.18 14:36:39;XAUUSD;5;1787063799;EA_INIT;V11|Preset=AGGRESSIVE|MaxLoss=$50.0 SL=$12.0 RiskPct=1.50|HedgeMaxNeg=$10.0 LotRatio=1.25 ConfirmBars=1 Cooldown=60s|DailyDD=4.0% WeeklyLim=$100|AutoLotMode=KELLY_LITE|Session=ALL NewsFilter=OFF (0 times);IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;33;0
2026.08.18 14:36:39;XAUUSD;5;1787063799;DAILY_BASELINE_RESTORED;startEquity=213065.65 paused=false hardStop=false;IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;33;0
2026.08.18 14:36:39;XAUUSD;5;1787063799;WEEKLY_BASELINE_RESTORED;startEquity=213065.65 paused=false;IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;33;0
2026.08.18 14:40:00;XAUUSD;5;1787063799;FILTER_BLOCK_TREND;TREND_NEUTRAL_EMA;BLOCKED;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213072.04;213072.04;33;0
