timestamp;cycle_id;type;action;ticket;price;lot;sl;tp;pnl;exit_reason;spread;atr;rsi;comment
2026.08.10 16:42:57;1786380077;main;open;118418447;4351.71;0.04;4339.71;4374.21;0.00;;36;4.41;63.8;BUY OCO
2026.08.10 16:42:58;1786380077;hedge;open;118418852;4348.41;0.05;4351.41;0.00;0.00;;36;4.41;63.7;HedgePend SELL_STOP
2026.08.10 16:51:11;1786380077;main;close;118418447;4354.00;0.04;4354.00;4374.21;9.16;failsafe_reconcile;36;4.34;66.7;[sl]
2026.08.10 16:58:41;1786380078;main;open;118422817;4358.90;0.04;4343.90;4381.40;0.00;;36;4.38;71.2;BUY OCO
2026.08.10 16:58:42;1786380078;hedge;open;118423569;4355.53;0.05;4358.53;0.00;0.00;;36;4.38;71.2;HedgePend SELL_STOP
2026.08.10 17:02:14;1786380078;main;close;118422817;4360.47;0.04;4360.47;4381.40;6.28;broker_side_close(sl_or_tp_hit);36;4.30;72.9;[sl]
2026.08.10 17:07:54;1786380079;main;open;118426835;4359.53;0.04;4347.53;4382.03;0.00;;36;4.51;71.3;FAILSAFE_RECOVER_OPEN|
2026.08.10 17:07:54;1786380079;main;open;118426835;4359.53;0.04;4347.53;4382.03;0.00;;36;4.51;71.3;BUY OCO
2026.08.10 17:07:55;1786380079;hedge;open;118427037;4356.18;0.05;4359.18;0.00;0.00;;36;4.52;71.4;HedgePend SELL_STOP
2026.08.10 17:09:15;1786380079;main;close;118426835;4362.00;0.04;4362.00;4382.03;9.88;broker_side_close(sl_or_tp_hit);37;4.75;73.6;[sl]
2026.08.10 17:39:48;1786380080;main;open;118435907;4355.23;0.03;4370.23;4332.73;0.00;;36;4.63;54.7;SELL OCO
2026.08.10 17:39:48;1786380080;hedge;open;118436069;4358.02;0.05;4355.02;0.00;0.00;;36;4.63;54.6;HedgePend BUY_STOP
2026.08.10 17:43:21;1786380080;main;close;118435907;4352.50;0.03;4352.50;4332.73;8.19;broker_side_close(sl_or_tp_hit);37;4.72;51.1;[sl]
2026.08.10 18:17:43;1786380081;main;open;118443710;4358.32;0.04;4346.32;4380.82;0.00;;36;4.17;58.5;BUY OCO
2026.08.10 18:17:43;1786380081;hedge;open;118444581;4354.95;0.05;4357.95;0.00;0.00;;36;4.17;58.5;HedgePend SELL_STOP
2026.08.10 18:29:03;1786380081;main;close;118443710;4360.14;0.04;4359.66;4380.82;7.28;tiered_profit_trail;35;4.16;60.8;
2026.08.10 18:36:19;1786380082;main;open;118448233;4364.05;0.04;4352.05;4386.55;0.00;;33;4.10;66.4;BUY OCO
2026.08.10 18:36:19;1786380082;hedge;open;118448734;4360.60;0.05;4363.60;0.00;0.00;;33;4.10;66.4;HedgePend SELL_STOP
2026.08.10 18:44:27;1786380082;hedge;close;118448734;4360.12;0.05;4360.39;0.00;2.40;hedge_reversal_giveback_cap;36;3.56;57.2;EA_Breakout_OCO_V7_1 HedgePend
2026.08.10 18:45:27;1786380082;main;close;118448233;4358.57;0.04;4352.05;4386.55;-21.92;soft_sl_momentum;36;3.37;55.1;
2026.08.10 18:51:07;1786380083;main;open;118452123;4359.52;0.03;4374.52;4337.02;0.00;;36;3.22;56.0;SELL OCO
2026.08.10 18:51:08;1786380083;hedge;open;118452295;4362.65;0.05;4359.65;0.00;0.00;;36;3.22;56.1;HedgePend BUY_STOP
2026.08.10 19:01:13;1786380083;hedge;close;118452295;4362.71;0.05;4362.71;0.00;0.30;failsafe_reconcile;36;3.30;61.2;EA_Breakout_OCO_V7_1 HedgeP[sl]
2026.08.10 19:05:13;1786380083;main;close;118452123;4364.56;0.03;4374.52;4337.02;-15.12;time_loss_exit;34;3.05;63.5;
2026.08.10 19:15:02;1786380084;main;open;118456432;4362.75;0.03;4374.75;4340.25;0.00;;36;2.65;60.2;SELL OCO
2026.08.10 19:15:03;1786380084;hedge;open;118457355;4366.05;0.05;4363.05;0.00;0.00;;35;2.65;60.4;HedgePend BUY_STOP
2026.08.10 19:25:48;1786380084;hedge;close;118457355;4366.66;0.05;4366.45;0.00;3.05;hedge_reversal_giveback_cap;34;2.87;67.1;EA_Breakout_OCO_V7_1 HedgePend
2026.08.10 19:31:13;1786380084;main;close;118456432;4367.86;0.03;4374.75;4340.25;-15.33;time_loss_exit;34;2.83;68.3;
2026.08.10 19:51:53;1786380085;main;open;118468711;4377.16;0.03;4392.16;4354.66;0.00;;35;3.98;70.2;SELL OCO
2026.08.10 20:00:00;1786380085;hedge;open;118471091;4382.09;0.05;4379.09;0.00;0.00;;37;3.96;72.1;HedgePend BUY_STOP
2026.08.10 20:06:09;1786380085;hedge;close;118471091;4382.25;0.05;4382.03;0.00;0.80;hedge_reversal_giveback_cap;36;4.11;74.8;EA_Breakout_OCO_V7_1 HedgePend
2026.08.10 20:06:10;1786380085;main;close;118468711;4382.57;0.03;4392.16;4354.66;-16.23;time_loss_exit;36;4.11;74.9;
2026.08.10 21:09:21;1786380086;main;open;118489330;4386.13;0.03;4398.13;4363.63;0.00;;33;4.10;61.0;SELL OCO
2026.08.10 21:09:21;1786380086;hedge;open;118489784;4389.69;0.05;4386.69;0.00;0.00;;33;4.10;61.0;HedgePend BUY_STOP
2026.08.10 21:13:34;1786380086;hedge;close;118489784;4390.15;0.05;4390.15;0.00;2.30;broker_side_close(sl_or_tp_hit);34;4.25;64.8;EA_Breakout_OCO_V7_1 HedgeP[sl]
2026.08.10 21:13:34;1786380086;hedge;close;118489784;4390.15;0.05;4390.15;0.00;2.30;broker_side_close(sl_or_tp_hit);34;4.25;64.8;EA_Breakout_OCO_V7_1 HedgeP[sl]
2026.08.10 21:28:59;1786380086;main;close;118489330;4391.33;0.03;4398.13;4363.63;-15.60;time_loss_exit;33;4.39;65.6;
