time;symbol;tf;cycle;event;detail;state;risk;active_orders;pending_orders;pyramid_level;buy_stop_ticket;sell_stop_ticket;entry_price;profit_money;price_move;peak_profit;worst_profit;lot_mode;auto_lot;last_lot;lot_base;lot_raw;lot_reason;balance;equity;spread;last_error
2026.08.14 21:54:59;XAUUSD;5;1786744499;EA_INIT;V10|Preset=AGGRESSIVE|MaxLoss=$50.0 SL=$12.0 RiskPct=1.50|HedgeMaxNeg=$10.0 LotRatio=1.25 ConfirmBars=1 Cooldown=60s|DailyDD=4.0% WeeklyLim=$100|AutoLotMode=KELLY_LITE|Session=ALL NewsFilter=OFF (0 times);IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;52;0
2026.08.17 00:43:21;XAUUSD;5;1786744499;EA_DEINIT;reason=5;BLOCKED;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;33;0
2026.08.17 00:43:21;XAUUSD;5;1786927401;EA_INIT;V10|Preset=AGGRESSIVE|MaxLoss=$50.0 SL=$12.0 RiskPct=1.50|HedgeMaxNeg=$10.0 LotRatio=1.25 ConfirmBars=1 Cooldown=60s|DailyDD=4.0% WeeklyLim=$100|AutoLotMode=KELLY_LITE|Session=ALL NewsFilter=OFF (0 times);IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;33;0
2026.08.17 00:44:50;XAUUSD;5;1786927401;EA_DEINIT;reason=5;BLOCKED;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;33;0
2026.08.17 00:44:50;XAUUSD;5;1786927490;EA_INIT;V10|Preset=AGGRESSIVE|MaxLoss=$50.0 SL=$12.0 RiskPct=1.50|HedgeMaxNeg=$10.0 LotRatio=1.25 ConfirmBars=1 Cooldown=60s|DailyDD=4.0% WeeklyLim=$100|AutoLotMode=KELLY_LITE|Session=ALL NewsFilter=OFF (0 times);IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;33;0
2026.08.17 00:44:50;XAUUSD;5;1786927490;DAILY_BASELINE_RESTORED;startEquity=213057.11 paused=false hardStop=false;IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;33;0
2026.08.17 00:44:50;XAUUSD;5;1786927490;WEEKLY_BASELINE_RESTORED;startEquity=213057.11 paused=false;IDLE;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;33;0
2026.08.17 00:44:51;XAUUSD;5;1786927491;PLACE_PENDING_START;cycle=1786927491 trend=0 consecLosses=0 preset=AGGRESSIVE;PLACE_PENDING;SAFE;0;0;0;-1;-1;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.00;0.00;0.0000;INIT;213057.11;213057.11;33;0
2026.08.17 00:44:52;XAUUSD;5;1786927491;OCO_PLACED;buy=119574738 4370.40 lot=0.04 sell=119574739 4367.07 lot=0.03 dist=1.50;WAIT_TRIGGER;SAFE;0;2;0;119574738;119574739;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213057.11;33;0
2026.08.17 00:45:00;XAUUSD;5;1786927491;BUY_STOP_TRAILED;Old=4370.40 New=4370.07;WAIT_TRIGGER;SAFE;0;2;0;119574738;119574739;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213057.11;33;0
2026.08.17 00:45:07;XAUUSD;5;1786927491;SELL_STOP_TRAILED;Old=4367.07 New=4367.40;WAIT_TRIGGER;SAFE;0;2;0;119574738;119574739;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213057.11;32;0
2026.08.17 00:45:12;XAUUSD;5;1786927491;SELL_STOP_TRAILED;Old=4367.40 New=4367.75;WAIT_TRIGGER;SAFE;0;2;0;119574738;119574739;0.00;0.00;0.00;0.00;0.00;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213057.11;33;0
2026.08.17 00:45:34;XAUUSD;5;1786927491;SELL_STOP_TRAILED;Old=4367.75 New=4368.16;WAIT_TRIGGER;SAFE;1;1;0;119574738;119574739;0.00;-0.92;-0.92;0.00;0.00;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213056.19;33;0
2026.08.17 00:45:34;XAUUSD;5;1786927491;OCO_TRIGGERED_BUY;ticket=119574738 entry=4370.07;POSITION_ACTIVE;SAFE;1;1;0;-1;119574739;0.00;-0.92;-0.92;0.00;0.00;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213056.19;33;0
2026.08.17 00:45:34;XAUUSD;5;1786927491;PENDING_DELETED;ticket=119574739 reason=oco_buy_triggered;POSITION_ACTIVE;SAFE;1;0;0;-1;119574739;0.00;-1.12;-1.12;0.00;0.00;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213055.99;33;0
2026.08.17 00:45:34;XAUUSD;5;1786927491;HEDGE_PENDING_PLACED;dir=SELL_STOP ticket=119574785 price=4366.79 sl=4369.79 lot=0.05 mainEntry=4370.07 dist=3.00 confirmBars=1;POSITION_ACTIVE;SAFE;1;1;1;-1;-1;4370.07;0.04;0.04;0.00;-1.12;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213057.15;33;0
2026.08.17 00:45:35;XAUUSD;5;1786927491;SL_MODIFIED;ticket=119574738 oldSL=4358.07 newSL=4368.07 reason=early_loss_hard_sl_leg_0;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;-0.96;-0.96;0.04;-1.12;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213056.15;33;0
2026.08.17 00:48:02;XAUUSD;5;1786927491;SL_MODIFIED;ticket=119574738 oldSL=4368.07 newSL=4371.55 reason=break_even_lock_leg_0;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;8.00;8.00;8.00;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213065.11;33;0
2026.08.17 00:48:02;XAUUSD;5;1786927491;PROFIT_RATCHET_LOCKED;floor=3.40 peak=8.00;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;8.00;8.00;8.00;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213065.11;33;0
2026.08.17 00:48:03;XAUUSD;5;1786927491;PROFIT_RATCHET_LOCKED;floor=3.42 peak=8.04;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;8.04;8.04;8.04;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213065.15;33;0
2026.08.17 00:48:03;XAUUSD;5;1786927491;PROFIT_RATCHET_LOCKED;floor=3.42 peak=8.04;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;7.84;7.84;8.04;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213064.95;33;0
2026.08.17 00:48:06;XAUUSD;5;1786927491;PROFIT_RATCHET_LOCKED;floor=3.42 peak=8.04;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;7.84;7.84;8.04;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213064.95;32;0
2026.08.17 00:48:06;XAUUSD;5;1786927491;PROFIT_RATCHET_LOCKED;floor=3.42 peak=8.04;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;7.80;7.80;8.04;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213064.91;33;0
2026.08.17 00:48:07;XAUUSD;5;1786927491;PROFIT_RATCHET_LOCKED;floor=3.42 peak=8.04;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;7.76;7.76;8.04;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213064.87;33;0
2026.08.17 00:48:08;XAUUSD;5;1786927491;SL_MODIFIED;ticket=119574738 oldSL=4371.55 newSL=4371.59 reason=break_even_lock_leg_0;MANAGE_PROFIT;SAFE;1;1;1;-1;-1;4370.07;8.16;8.16;8.16;-1.32;KELLY_LITE;true;0.04;213057.11;0.0417;KELLY_LITE(mult=1.00 taper=1.00 n=0)+HARD_RISK_CAP(2.0%)+MAXLOSS_CAP;213057.11;213065.27;33;0
