timestamp;cycle_id;type;action;ticket;price;lot;sl;tp;pnl;exit_reason;spread;atr;rsi;comment
2026.08.07 00:16:31;1786059404;main;open;118126061;4245.79;0.03;4230.79;4268.29;0.00;;36;2.08;59.2;BUY OCO
2026.08.07 00:27:30;1786059404;main;close;118126061;4244.86;0.03;4230.79;4268.29;-2.79;reversal_chaser_flip;37;1.87;56.8;
2026.08.07 00:27:30;1786059405;main;open;118126050;4244.87;0.04;4248.87;0.00;0.00;;37;1.87;56.8;REVERSAL_FLIP
2026.08.07 00:33:23;1786059405;main;close;118126050;4248.87;0.04;4248.87;0.00;-16.00;broker_side_close(sl_or_tp_hit);36;2.04;64.5;[sl]
2026.08.07 00:50:26;1786059406;main;open;118127155;4249.93;0.04;4234.93;4272.43;0.00;;36;2.12;65.7;BUY OCO
2026.08.07 00:53:03;1786059406;main;close;118127155;4251.37;0.04;4251.37;4272.43;5.76;broker_side_close(sl_or_tp_hit);36;2.30;68.5;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 01:00:53;1786059407;main;open;118127156;4248.35;0.03;4252.35;0.00;0.00;;36;2.58;57.8;REVERSAL_FLIP
2026.08.07 01:12:54;1786059407;main;close;118127156;4246.07;0.03;4246.10;0.00;6.84;tiered_profit_trail;36;2.81;50.6;
2026.08.07 01:18:29;1786059408;main;open;118129581;4241.83;0.03;4256.83;4219.33;0.00;;36;3.02;42.2;SELL OCO
2026.08.07 01:20:27;1786059408;main;close;118129581;4243.52;0.03;4256.83;4219.33;-5.07;reversal_chaser_flip;36;3.02;45.6;
2026.08.07 01:20:27;1786059409;main;open;118129579;4243.51;0.04;4239.51;0.00;0.00;;36;3.02;45.6;REVERSAL_FLIP
2026.08.07 01:24:56;1786059409;main;close;118129579;4239.51;0.04;4239.51;0.00;-16.00;broker_side_close(sl_or_tp_hit);36;3.35;38.7;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 01:30:05;1786059410;main;open;118130494;4242.47;0.03;4257.47;4219.97;0.00;;33;3.68;45.5;SELL OCO
2026.08.07 01:35:57;1786059410;main;close;118130494;4239.97;0.03;4240.24;4219.97;7.50;tiered_profit_trail;36;3.84;41.0;
2026.08.07 01:52:56;1786059411;main;open;118132685;4235.26;0.03;4223.26;4257.76;0.00;;37;4.59;38.5;BUY OCO
2026.08.07 01:55:32;1786059411;main;close;118132685;4232.65;0.03;4223.26;4257.76;-7.83;reversal_chaser_flip;36;4.46;35.0;
2026.08.07 01:55:32;1786059412;main;open;118132683;4232.64;0.04;4247.64;4210.14;0.00;;36;4.46;35.0;REVERSAL_FLIP
2026.08.07 01:59:12;1786059412;main;close;118132683;4230.57;0.04;4230.57;4210.14;8.28;broker_side_close(sl_or_tp_hit);36;4.68;32.4;[sl]
2026.08.07 02:04:24;1786059413;main;open;118134319;4242.35;0.03;4230.35;4264.85;0.00;;36;5.24;51.2;BUY OCO
2026.08.07 02:08:17;1786059413;main;close;118134319;4246.03;0.03;4246.03;4264.85;11.04;broker_side_close(sl_or_tp_hit);36;5.53;56.2;[sl]
2026.08.07 02:09:07;1786059414;main;open;118134318;4242.99;0.04;4246.99;0.00;0.00;;36;5.53;52.6;REVERSAL_FLIP
2026.08.07 02:12:10;1786059414;main;close;118134318;4241.33;0.04;4241.33;0.00;6.64;broker_side_close(sl_or_tp_hit);37;5.38;50.0;[sl]
2026.08.07 02:58:05;1786059415;main;open;118140566;4257.82;0.04;4245.82;4280.32;0.00;;33;6.12;67.2;BUY OCO
2026.08.07 03:01:10;1786059415;main;close;118140566;4260.03;0.04;4260.03;4280.32;8.84;broker_side_close(sl_or_tp_hit);36;6.31;69.4;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 03:34:34;1786059416;main;open;118142798;4256.73;0.03;4268.73;4234.23;0.00;;36;4.92;59.3;SELL OCO
2026.08.07 03:36:19;1786059416;main;close;118142798;4254.34;0.03;4254.42;4234.23;7.17;tiered_profit_trail;33;4.82;54.5;
2026.08.07 03:42:18;1786059417;main;open;118143572;4252.95;0.03;4264.95;4230.45;0.00;;33;4.76;52.7;SELL OCO
2026.08.07 03:46:11;1786059417;main;close;118143572;4247.95;0.03;4247.95;4230.45;15.00;broker_side_close(sl_or_tp_hit);33;4.69;45.2;[sl]
2026.08.07 03:47:01;1786059418;main;open;118143571;4250.24;0.04;4246.24;0.00;0.00;;36;4.71;47.6;REVERSAL_FLIP
2026.08.07 03:49:04;1786059418;main;close;118143571;4251.56;0.04;4251.56;0.00;5.28;broker_side_close(sl_or_tp_hit);36;4.88;50.1;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 04:11:06;1786059419;main;open;118146319;4255.72;0.03;4270.72;4233.22;0.00;;36;4.25;54.6;SELL OCO
2026.08.07 04:12:58;1786059419;main;close;118146319;4256.03;0.03;4270.72;4233.22;-0.93;reversal_chaser_flip;36;4.46;54.5;
2026.08.07 04:12:58;1786059420;main;open;118146318;4256.02;0.04;4252.02;0.00;0.00;;36;4.46;54.5;REVERSAL_FLIP
2026.08.07 04:22:33;1786059420;main;close;118146318;4252.02;0.04;4252.02;0.00;-16.00;broker_side_close(sl_or_tp_hit);36;4.57;49.4;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 04:29:43;1786059421;main;open;118147582;4258.72;0.04;4243.72;4281.22;0.00;;35;4.64;58.0;BUY OCO
2026.08.07 04:31:05;1786059421;main;close;118147582;4260.45;0.04;4260.45;4281.22;6.92;broker_side_close(sl_or_tp_hit);36;4.59;60.2;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 05:04:48;1786059422;main;open;118150312;4264.35;0.04;4252.35;4286.85;0.00;;36;4.20;62.9;BUY OCO
2026.08.07 05:05:21;1786059422;main;close;118150312;4265.94;0.04;4265.94;4286.85;6.36;broker_side_close(sl_or_tp_hit);36;3.89;65.7;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 05:19:00;1786059423;main;open;118150316;4262.27;0.03;4274.27;4239.77;0.00;;36;3.75;57.2;REVERSAL_FLIP
2026.08.07 05:29:24;1786059423;main;close;118150316;4267.27;0.03;4274.27;4239.77;-15.00;time_loss_exit;36;3.89;63.5;
2026.08.07 05:37:29;1786059424;main;open;118152540;4266.55;0.03;4278.55;4244.05;0.00;;36;3.73;61.4;SELL OCO
2026.08.07 05:48:07;1786059425;main;open;118153366;4264.33;0.04;4252.33;4286.83;0.00;;36;4.00;56.2;BUY OCO
2026.08.07 05:55:34;1786059425;main;close;118153366;4266.51;0.04;4266.51;4286.83;8.72;broker_side_close(sl_or_tp_hit);36;4.02;59.7;EA_Breakout_OCO_V6 Bull Buy[sl]
2026.08.07 06:07:29;1786059426;main;open;118153367;4262.31;0.03;4274.31;4239.81;0.00;;36;4.06;51.0;REVERSAL_FLIP
2026.08.07 06:10:52;1786059426;main;close;118153367;4269.58;0.03;4274.31;4239.81;-21.81;soft_sl_momentum;36;3.91;63.0;
2026.08.07 06:23:34;1786059427;main;open;118155639;4269.15;0.04;4257.15;4291.65;0.00;;36;3.91;63.1;BUY OCO
2026.08.07 06:23:59;1786059427;main;close;118155639;4266.84;0.04;4257.15;4291.65;-9.24;reversal_chaser_flip;36;3.98;57.1;EA_Breakout_OCO_V6 Bull BuyStop
2026.08.07 06:23:59;1786059428;main;open;118155640;4267.19;0.03;4279.19;4244.69;0.00;;36;3.98;57.1;REVERSAL_FLIP
2026.08.07 06:33:59;1786059428;main;close;118155640;4272.80;0.03;4279.19;4244.69;-16.83;time_loss_exit;36;3.99;65.6;
2026.08.07 07:15:13;1786059429;main;open;118162035;4285.09;0.03;4297.09;4262.59;0.00;;36;4.99;70.8;SELL OCO
2026.08.07 07:17:54;1786059429;main;close;118162035;4287.49;0.03;4297.09;4262.59;-7.20;reversal_chaser_flip;33;5.09;74.8;
