timestamp;cycle_id;type;action;ticket;price;lot;sl;tp;pnl;exit_reason;spread;atr;rsi;comment
2026.08.11 10:42:42;1786442648;main;open;118634628;4372.70;0.04;4384.70;4350.20;0.00;;36;3.45;54.4;SELL OCO
2026.08.11 10:42:42;1786442648;hedge;open;118635265;4376.13;0.05;4373.13;0.00;0.00;;36;3.45;54.4;HedgePend BUY_STOP
2026.08.11 10:45:17;1786442648;main;close;118634628;4370.91;0.04;4371.13;4350.20;7.16;tiered_profit_trail;36;3.34;50.2;
2026.08.11 11:25:40;1786445793;main;open;118642624;4380.09;0.03;4368.09;4402.59;0.00;;33;3.57;65.0;BUY OCO
2026.08.11 11:25:41;1786445793;hedge;open;118642750;4376.82;0.05;4379.82;0.00;0.00;;36;3.57;65.0;HedgePend SELL_STOP
2026.08.11 11:40:43;1786445793;hedge;open;118646157;4374.81;0.05;4377.81;0.00;0.00;;36;3.09;60.5;HedgePend SELL_STOP
2026.08.11 12:01:17;1786445793;main;close;118642624;4385.92;0.03;4385.09;4402.59;17.49;tiered_profit_trail;36;3.37;72.1;
2026.08.11 12:26:50;1786445794;main;open;118656050;4387.67;0.04;4372.67;4410.17;0.00;;35;4.21;64.5;BUY OCO
2026.08.11 12:26:50;1786445794;hedge;open;118656190;4384.72;0.05;4387.72;0.00;0.00;;36;4.24;64.9;HedgePend SELL_STOP
2026.08.11 12:39:31;1786445794;hedge;close;118656190;4384.19;0.05;4384.49;0.00;2.65;hedge_reversal_giveback_cap;36;3.94;56.2;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 12:39:32;1786445794;main;close;118656050;4383.89;0.04;4372.67;4410.17;-15.12;time_loss_exit;36;3.94;56.2;
2026.08.11 12:45:47;1786445795;main;open;118659953;4387.41;0.04;4375.41;4409.91;0.00;;36;3.92;61.9;BUY OCO
2026.08.11 12:45:47;1786445795;hedge;open;118660193;4384.31;0.05;4387.31;0.00;0.00;;36;3.92;61.8;HedgePend SELL_STOP
2026.08.11 12:52:46;1786445795;main;close;118659953;4388.77;0.04;4388.77;4409.91;5.44;broker_side_close(sl_or_tp_hit);37;4.27;63.9;[sl]
2026.08.11 13:00:20;1786445796;main;open;118663047;4386.74;0.03;4398.74;4364.24;0.00;;36;4.24;59.8;SELL OCO
2026.08.11 13:00:20;1786445796;hedge;open;118663610;4390.06;0.05;4387.06;0.00;0.00;;36;4.25;59.4;HedgePend BUY_STOP
2026.08.11 13:06:33;1786445796;hedge;close;118663610;4391.39;0.05;4390.88;0.00;6.65;hedge_reversal_giveback_cap;36;4.67;65.6;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 13:08:04;1786445796;main;close;118663047;4393.50;0.03;4398.74;4364.24;-20.28;soft_sl_momentum;36;4.77;67.7;
